Region,År,datakalla,Variabel,Värde
Falkenberg,2031,prognos,Inrikes utflyttade,1580.4895150464567
Falkenberg,2032,prognos,Inrikes flyttnetto,214.88051896230718
Falkenberg,2032,prognos,Inrikes inflyttade,1802.901973478091
Falkenberg,2032,prognos,Inrikes utflyttade,1588.0214545157837
Falkenberg,2033,prognos,Inrikes flyttnetto,215.74660789211202
Falkenberg,2033,prognos,Inrikes inflyttade,1810.0545064102466
Falkenberg,2033,prognos,Inrikes utflyttade,1594.3078985181346
Falkenberg,2034,prognos,Inrikes flyttnetto,217.6361666436278
Falkenberg,2034,prognos,Inrikes inflyttade,1816.6207991896622
Falkenberg,2034,prognos,Inrikes utflyttade,1598.9846325460344
Falkenberg,2035,prognos,Inrikes flyttnetto,220.27746227389684
Falkenberg,2035,prognos,Inrikes inflyttade,1822.4899718629285
Falkenberg,2035,prognos,Inrikes utflyttade,1602.2125095890317
Falkenberg,2036,prognos,Inrikes flyttnetto,223.0225762664304
Falkenberg,2036,prognos,Inrikes inflyttade,1827.5772724053045
Falkenberg,2036,prognos,Inrikes utflyttade,1604.554696138874
Falkenberg,2037,prognos,Inrikes flyttnetto,225.6281575624812
Falkenberg,2037,prognos,Inrikes inflyttade,1831.9068670397628
Falkenberg,2037,prognos,Inrikes utflyttade,1606.2787094772816
Falkenberg,2038,prognos,Inrikes flyttnetto,228.5104270358854
Falkenberg,2038,prognos,Inrikes inflyttade,1835.5159869851443
Falkenberg,2038,prognos,Inrikes utflyttade,1607.005559949259
Falkenberg,2039,prognos,Inrikes flyttnetto,231.07857664581888
Falkenberg,2039,prognos,Inrikes inflyttade,1838.4760908009723
Falkenberg,2039,prognos,Inrikes utflyttade,1607.3975141551534
Falkenberg,2040,prognos,Inrikes flyttnetto,233.64907759900188
Falkenberg,2040,prognos,Inrikes inflyttade,1840.848865978529
Falkenberg,2040,prognos,Inrikes utflyttade,1607.199788379527
Hallands län,2000,historisk,Inrikes flyttnetto,1078
Hallands län,2000,historisk,Inrikes inflyttade,8348
Hallands län,2000,historisk,Inrikes utflyttade,7270
