Region,År,Variabel,Värde
Halmstad,2028,Födelserisker,1.4709160500423648
Halmstad,2029,Födelserisker,1.5009848241422894
Halmstad,2030,Födelserisker,1.5316038615310037
Halmstad,2031,Födelserisker,1.563666467566477
Halmstad,2032,Födelserisker,1.596846308184999
Halmstad,2033,Födelserisker,1.6306715141168169
Halmstad,2034,Födelserisker,1.6343622112148257
Halmstad,2035,Födelserisker,1.6385507937601016
Halmstad,2036,Födelserisker,1.639567515803844
Halmstad,2037,Födelserisker,1.6403936301119597
Halmstad,2038,Födelserisker,1.6410798928736536
Halmstad,2039,Födelserisker,1.6426992660449298
Halmstad,2040,Födelserisker,1.644179855012496
Hylte,2000,Födelserisker,1.73136731202021
Hylte,2001,Födelserisker,2.0169100365085524
Hylte,2002,Födelserisker,2.1505645496877968
Hylte,2003,Födelserisker,1.8682083108936482
Hylte,2004,Födelserisker,2.1244062685669554
Hylte,2005,Födelserisker,2.2485941748238925
Hylte,2006,Födelserisker,2.544486365291604
Hylte,2007,Födelserisker,2.62964347861417
Hylte,2008,Födelserisker,1.8360540338763633
Hylte,2009,Födelserisker,2.227222423909786
Hylte,2010,Födelserisker,2.166247462253129
Hylte,2011,Födelserisker,2.0167309330064396
Hylte,2012,Födelserisker,2.470939581141545
Hylte,2013,Födelserisker,1.9081017465050498
Hylte,2014,Födelserisker,2.420157734356315
Hylte,2015,Födelserisker,2.254331983312396
Hylte,2016,Födelserisker,2.3393079211698438
Hylte,2017,Födelserisker,2.240742669646733
Hylte,2018,Födelserisker,2.4261397242683422
Hylte,2019,Födelserisker,2.259809050789991
Hylte,2020,Födelserisker,2.389717973842939
Hylte,2021,Födelserisker,2.075575871560105
Hylte,2022,Födelserisker,1.7883389625204933
Hylte,2023,Födelserisker,1.7107051732651464
Hylte,2024,Födelserisker,1.9608904971602088
Hylte,2025,Födelserisker,1.7718569209301058
Hylte,2026,Födelserisker,1.8236691589688272
Hylte,2027,Födelserisker,1.815123152041127
Hylte,2028,Födelserisker,1.808445121865098
Hylte,2029,Födelserisker,1.8339787834674444
Hylte,2030,Födelserisker,1.861862028438113
Hylte,2031,Födelserisker,1.8905513338213589
Hylte,2032,Födelserisker,1.922030437152437
Hylte,2033,Födelserisker,1.9445112768047286
Hylte,2034,Födelserisker,1.9403509517594721
Hylte,2035,Födelserisker,1.9352353308992696
Hylte,2036,Födelserisker,1.9280321981116544
Hylte,2037,Födelserisker,1.9207137650375197
Hylte,2038,Födelserisker,1.9114321712681073
Hylte,2039,Födelserisker,1.905818020886031
Hylte,2040,Födelserisker,1.899332524361677
Kungsbacka,2000,Födelserisker,1.8189799571724707
Kungsbacka,2001,Födelserisker,1.8742061844627074
Kungsbacka,2002,Födelserisker,2.099174603571489
Kungsbacka,2003,Födelserisker,2.0538681612769865
Kungsbacka,2004,Födelserisker,2.017275894919599
Kungsbacka,2005,Födelserisker,2.1560428707868877
Kungsbacka,2006,Födelserisker,2.1236175666265344
Kungsbacka,2007,Födelserisker,2.112382953691055
Kungsbacka,2008,Födelserisker,2.1060035690726764
Kungsbacka,2009,Födelserisker,2.2745682179499935
Kungsbacka,2010,Födelserisker,2.3027892235438516
Kungsbacka,2011,Födelserisker,2.0582703452136695
Kungsbacka,2012,Födelserisker,2.1690789178209364
Kungsbacka,2013,Födelserisker,2.072277974963816
Kungsbacka,2014,Födelserisker,2.1168864925823483
Kungsbacka,2015,Födelserisker,1.9853782079262279
Kungsbacka,2016,Födelserisker,1.9687054440817642
Kungsbacka,2017,Födelserisker,1.7744063509267043
Kungsbacka,2018,Födelserisker,1.9475563380173098
Kungsbacka,2019,Födelserisker,1.8699217093786429
Kungsbacka,2020,Födelserisker,1.7355847631506558
Kungsbacka,2021,Födelserisker,1.798820241948723
Kungsbacka,2022,Födelserisker,1.6891202574729574
Kungsbacka,2023,Födelserisker,1.6554642323327293
Kungsbacka,2024,Födelserisker,1.6508439682010652
Kungsbacka,2025,Födelserisker,1.5484704958919213
Kungsbacka,2026,Födelserisker,1.6189967761876547
Kungsbacka,2027,Födelserisker,1.62741988263471
Kungsbacka,2028,Födelserisker,1.6359839617638052
Kungsbacka,2029,Födelserisker,1.671585955215074
Kungsbacka,2030,Födelserisker,1.707221040016766
Kungsbacka,2031,Födelserisker,1.7444036451041192
Kungsbacka,2032,Födelserisker,1.782684958036481
Kungsbacka,2033,Födelserisker,1.8243027932215692
Kungsbacka,2034,Födelserisker,1.8304547914370093
Kungsbacka,2035,Födelserisker,1.8375201757823922
Kungsbacka,2036,Födelserisker,1.8407702993753734
Kungsbacka,2037,Födelserisker,1.8437160165176465
Kungsbacka,2038,Födelserisker,1.8468557676322668
Kungsbacka,2039,Födelserisker,1.8505081756962471
Kungsbacka,2040,Födelserisker,1.8541170265036047
Laholm,2000,Födelserisker,1.7544646637129004
Laholm,2001,Födelserisker,1.840796379268344
Laholm,2002,Födelserisker,2.031626939695256
Laholm,2003,Födelserisker,1.7859242147402548
Laholm,2004,Födelserisker,1.9711970370910066
Laholm,2005,Födelserisker,1.9537502205343003
Laholm,2006,Födelserisker,2.1416996109911195
Laholm,2007,Födelserisker,1.9433223609302284
Laholm,2008,Födelserisker,1.8470816584541916
Laholm,2009,Födelserisker,2.0189418622074613
Laholm,2010,Födelserisker,2.162876155785045
Laholm,2011,Födelserisker,1.8401986793335035
Laholm,2012,Födelserisker,1.9727825495300788
Laholm,2013,Födelserisker,2.269053180157708
Laholm,2014,Födelserisker,1.920248427941701
Laholm,2015,Födelserisker,1.9250016377104935
Laholm,2016,Födelserisker,2.303669502009137
Laholm,2017,Födelserisker,1.9829196083963574
Laholm,2018,Födelserisker,2.027842782538787
Laholm,2019,Födelserisker,2.0943683249505267
Laholm,2020,Födelserisker,2.0294138560163555
Laholm,2021,Födelserisker,2.003068127216538
Laholm,2022,Födelserisker,1.7150138002458064
Laholm,2023,Födelserisker,1.7371264614926911
Laholm,2024,Födelserisker,1.7106845052357502
Laholm,2025,Födelserisker,1.825842788420898
Laholm,2026,Födelserisker,1.7214911054286284
Laholm,2027,Födelserisker,1.7223741268941786
Laholm,2028,Födelserisker,1.7243789380146926
Laholm,2029,Födelserisker,1.7558072966231228
Laholm,2030,Födelserisker,1.7879582689248315
Laholm,2031,Födelserisker,1.8217202040491227
Laholm,2032,Födelserisker,1.8566791461738315
Laholm,2033,Födelserisker,1.8923814835935853
Laholm,2034,Födelserisker,1.8929972394489996
Laholm,2035,Födelserisker,1.8939057542560407
Laholm,2036,Födelserisker,1.8914441130486501
Laholm,2037,Födelserisker,1.8882997106506538
Laholm,2038,Födelserisker,1.8855969877951593
Laholm,2039,Födelserisker,1.884009950909723
Laholm,2040,Födelserisker,1.8820345246089525
Riket,2000,Födelserisker,1.539858787802487
Riket,2001,Födelserisker,1.5619187791722224
Riket,2002,Födelserisker,1.6436355480089797
Riket,2003,Födelserisker,1.7068679122897106
Riket,2004,Födelserisker,1.746834256691825
Riket,2005,Födelserisker,1.7636548603340874
Riket,2006,Födelserisker,1.844684549519852
Riket,2007,Födelserisker,1.8693805908401708
Riket,2008,Födelserisker,1.8952320227013442
Riket,2009,Födelserisker,1.9227416159378663
Riket,2010,Födelserisker,1.9743958798151136
Riket,2011,Födelserisker,1.8923681272229371
Riket,2012,Födelserisker,1.8954640328035015
Riket,2013,Födelserisker,1.8777390300684518
Riket,2014,Födelserisker,1.8687419796434244
Riket,2015,Födelserisker,1.837808535328871
Riket,2016,Födelserisker,1.836636217116462
Riket,2017,Födelserisker,1.7688477437887944
Riket,2018,Födelserisker,1.7430639402238242
Riket,2019,Födelserisker,1.6984912658520042
Riket,2020,Födelserisker,1.6621593277622588
Riket,2021,Födelserisker,1.6640116099514068
